county,poverty_rate,health_insurance,median_household_income,unemployment_rate,public_transit,median_house_value,median_gross_rent,bachelor_holders,public_assistance
"Sedgwick County, Kansas",13.7,89.9,66646,3.6,0.7,209700,974,19.38,1.82
"Shawnee County, Kansas",12.7,91.7,62512,3.8,0.1,183200,962,17.53,1.86
"Wyandotte County, Kansas",16.9,83.2,61766,5.0,1.4,177000,1113,12.15,1.51
"Boone County, Kentucky",7.7,96.3,87550,3.1,0.3,285600,1397,23.69,2.03
"Bullitt County, Kentucky",7.6,97.0,73901,3.7,0.0,260500,907,12.3,0.32
"Campbell County, Kentucky",9.9,94.4,81451,2.9,0.8,268500,1292,21.11,2.3
"Christian County, Kentucky",17.3,90.6,55458,7.6,0.0,175300,1032,12.91,0.88
"Daviess County, Kentucky",18.6,95.0,61922,4.1,0.0,200500,904,12.56,1.88
"Fayette County, Kentucky",16.0,93.4,66392,4.2,1.4,294300,1145,26.62,1.16
"Hardin County, Kentucky",15.8,94.0,63502,4.5,0.0,237200,952,14.32,0.49
"Jefferson County, Kentucky",16.0,94.4,64542,4.5,1.8,250800,1123,20.86,2.36
"Kenton County, Kentucky",10.3,96.2,79392,3.1,1.0,251500,1083,22.25,1.88
"McCracken County, Kentucky",15.6,95.4,60720,1.3,0.5,179600,764,14.83,0.71
"Madison County, Kentucky",13.0,94.0,65502,3.5,0.0,253100,804,19.94,2.94
"Oldham County, Kentucky",6.6,98.2,119553,2.4,0.1,387500,1032,25.96,1.55
"Pulaski County, Kentucky",15.7,93.1,55667,4.2,0.0,189500,850,6.91,2.18
"Warren County, Kentucky",13.7,93.5,61067,3.9,0.5,268700,972,19.15,1.08
"Ascension Parish, Louisiana",10.2,93.8,90190,3.7,0.4,279900,1176,16.11,1.12
"Bossier Parish, Louisiana",14.2,91.9,71365,4.1,0.4,211500,1163,12.85,0.54
"Caddo Parish, Louisiana",23.4,92.9,50375,5.7,0.9,170500,996,16.9,1.36
"Calcasieu Parish, Louisiana",18.1,93.8,63890,3.4,0.0,221500,1081,16.06,0.72
"East Baton Rouge Parish, Louisiana",20.2,93.5,59443,6.0,1.5,253300,1131,20.86,1.02
"Iberia Parish, Louisiana",21.7,93.6,53352,7.8,0.9,147500,836,10.34,1.49
"Jefferson Parish, Louisiana",17.0,90.1,61085,5.2,0.7,259100,1135,16.56,1.5
"Lafayette Parish, Louisiana",17.5,91.0,63116,3.3,0.5,244400,972,22.97,0.58
"Lafourche Parish, Louisiana",22.3,95.1,55926,2.8,0.2,195200,1088,14.79,1.35
"Livingston Parish, Louisiana",15.7,93.1,72725,3.0,0.2,223600,1003,12.0,1.79
"Orleans Parish, Louisiana",22.6,93.9,55580,5.3,4.4,306400,1203,22.19,0.73
"Ouachita Parish, Louisiana",21.5,92.4,52695,7.0,0.2,195300,940,18.83,2.25
"Rapides Parish, Louisiana",20.4,90.7,51301,4.5,1.0,170900,929,12.23,0.98
"St. Landry Parish, Louisiana",22.7,94.3,41393,2.8,0.8,114100,658,8.15,0.68
"St. Tammany Parish, Louisiana",13.0,94.3,76420,4.6,0.1,286500,1259,22.74,1.06
"Tangipahoa Parish, Louisiana",18.4,93.4,54417,5.9,0.0,218300,987,12.72,0.62
"Terrebonne Parish, Louisiana",13.8,91.1,64084,2.5,0.1,185300,1043,12.88,1.66
"Androscoggin County, Maine",14.0,93.4,63404,4.1,0.2,263000,997,15.6,6.99
"Aroostook County, Maine",10.4,93.0,57030,3.1,0.0,154400,859,19.6,4.41
"Cumberland County, Maine",6.3,96.0,98369,2.2,1.9,470600,1609,32.82,1.57
